"","budget","company","country","director","genre","gross","name","rating","released","runtime","score","star","votes","writer","year"
"6596",2e+07,"Metanoia Films","Mexico","Alejandro Monteverde","Drama",6420319,"El gran pequeño","PG-13","2015-04-24",106,7.4,"Jakob Salvati",19156,"Alejandro Monteverde",2015
"4786",0,"Sony Pictures Classics","UK","Kenneth Branagh","Drama",342835,"Sleuth","R","2008-01-25",88,6.5,"Michael Caine",27338,"Anthony Shaffer",2007
"3739",1.1e+07,"AAMPI Inc.","Hungary","Menno Meyjes","Drama",527019,"Max","R","2003-06-20",106,6.6,"John Cusack",6491,"Menno Meyjes",2002
"2789",2e+07,"Cinehaus","USA","Robert Benton","Crime",15030732,"Twilight","R","1998-03-06",94,6.2,"Paul Newman",8769,"Robert Benton",1998
"5896",850000,"AdScott Pictures","USA","Jamie Travis","Comedy",1243961,"For a Good Time, Call...","R","2012-11-02",88,6,"Ari Graynor",14242,"Lauren Miller",2012
"3581",3.2e+07,"Lakeshore Entertainment","USA","Mark Pellington","Drama",35746370,"The Mothman Prophecies","PG-13","2002-01-25",119,6.5,"Richard Gere",67002,"Richard Hatem",2002
"1374",1.6e+07,"Columbia Pictures Corporation","USA","Barbet Schroeder","Drama",47922919,"Single White Female","R","1992-08-14",107,6.3,"Bridget Fonda",25871,"John Lutz",1992
"5058",0,"Louisiana Producers Film Source","USA","Tyler Perry","Drama",37019849,"The Family That Preys","PG-13","2008-09-12",100,5.4,"Kathy Bates",6087,"Tyler Perry",2008
"5698",4.1e+07,"Fox 2000 Pictures","USA","David Frankel","Comedy",7204138,"The Big Year","PG","2011-10-14",100,6.2,"Owen Wilson",36943,"Howard Franklin",2011
"60",0,"Columbia Pictures Corporation","USA","Walter Hill","Drama",5839031,"Crossroads","R","1986-03-14",99,7.1,"Ralph Macchio",11415,"John Fusco",1986
"5867",1e+06,"Alcon Entertainment","USA","Bradley Parker","Horror",18119640,"Chernobyl Diaries","R","2012-05-25",86,5,"Jesse McCartney",55671,"Oren Peli",2012
"917",0,"Gaumont","France","Luc Besson","Action",5017971,"La Femme Nikita","R","1991-04",117,7.4,"Anne Parillaud",58619,"Luc Besson",1990
